RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559217317167	 	3.1.2
USER	Cenários de Testes Funcionais Conector IMS	1	START	1559217318893	1559217318893
USER	Cenários de Testes Funcionais Conector X0	2	START	1559217318896	1559217318896
REQUEST	1		Conector IMS HttpCode 200	1559217318951	1559217319116	OK	 
REQUEST	2		Conector XO HttpCode 200	1559217318952	1559217319116	OK	 
REQUEST	1		Conector IMS HttpCode 200 Redirect 1	1559217319135	1559217319249	OK	 
REQUEST	2		Conector XO HttpCode 200 Redirect 1	1559217319135	1559217319247	OK	 
REQUEST	1		Conector IMS HttpCode 400	1559217319260	1559217319335	OK	 
REQUEST	2		Conector XO HttpCode 400	1559217319260	1559217319341	OK	 
REQUEST	1		Conector IMS HttpCode 400 Redirect 1	1559217319336	1559217319436	OK	 
REQUEST	2		Conector XO HttpCode 400 Redirect 1	1559217319342	1559217319444	OK	 
USER	Cenários de Testes Funcionais Conector X0	2	END	1559217318896	1559217319448
REQUEST	1		Conector IMS HttpCode 500	1559217319437	1559217319490	OK	 
REQUEST	1		Conector IMS HttpCode 500 Redirect 1	1559217319490	1559217319622	OK	 
REQUEST	1		Conector IMS HttpCode 200	1559217319623	1559217319677	OK	 
REQUEST	1		Conector IMS HttpCode 200 Redirect 1	1559217319678	1559217319763	OK	 
USER	Cenários de Testes Funcionais Conector IMS	1	END	1559217318893	1559217319764
